{'frame_id': 49980, 'track_a': 265828, 'track_b': 265985, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.34204848918852554}
{'frame_id': 49980, 'track_a': 258299, 'track_b': 265985, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.23888600539236998}
{'frame_id': 50040, 'track_a': 266088, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.35548773490465463}
{'frame_id': 50040, 'track_a': 265828, 'track_b': 266175, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.1369813478991126}
{'frame_id': 50040, 'track_a': 266088, 'track_b': 266175, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.21873051155609913}
{'frame_id': 50040, 'track_a': 258299, 'track_b': 266175, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.17021149173075809}
{'frame_id': 50100, 'track_a': 265769, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.20515052843583825}
{'frame_id': 50100, 'track_a': 265769, 'track_b': 266175, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.15592723799717595}
{'frame_id': 50400, 'track_a': 267781, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.3464950425687549}
{'frame_id': 50400, 'track_a': 268086, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.12972645049218684}
{'frame_id': 50400, 'track_a': 267781, 'track_b': 266175, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.3089642525011005}
{'frame_id': 50460, 'track_a': 268304, 'track_b': 265518, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.25978734188183555}
{'frame_id': 50520, 'track_a': 268661, 'track_b': 266175, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.3436693720778291}
{'frame_id': 50640, 'track_a': 269056, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.1579482623968113}
{'frame_id': 50640, 'track_a': 269134, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.12789510907570648}
{'frame_id': 50640, 'track_a': 268838, 'track_b': 266175, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.2489129191614866}
{'frame_id': 50760, 'track_a': 269448, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.18803925520018866}
{'frame_id': 50820, 'track_a': 269677, 'track_b': 268838, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.34950846041489947}
{'frame_id': 50880, 'track_a': 270146, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.1736624220503457}
{'frame_id': 51120, 'track_a': 271308, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.28241725177087434}
{'frame_id': 51120, 'track_a': 271574, 'track_b': 258299, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.22279399693489932}
{'frame_id': 51300, 'track_a': 258299, 'track_b': 272497, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.22316388026624728}
{'frame_id': 51300, 'track_a': 272107, 'track_b': 272497, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.3284254687401652}
{'frame_id': 51360, 'track_a': 271068, 'track_b': 271043, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.38977979457396617}
{'frame_id': 51420, 'track_a': 272776, 'track_b': 272107, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.3098754655606215}
{'frame_id': 51480, 'track_a': 273027, 'track_b': 271043, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.21329309268062185}
{'frame_id': 51480, 'track_a': 273184, 'track_b': 272107, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.1930289319487938}
{'frame_id': 51480, 'track_a': 273468, 'track_b': 272107, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.27235150446195144}
{'frame_id': 51540, 'track_a': 273481, 'track_b': 272107, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.21121236879629693}
{'frame_id': 51540, 'track_a': 273590, 'track_b': 271043, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.30035307083665375}
{'frame_id': 51600, 'track_a': 273481, 'track_b': 271043, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.39622279631616203}
{'frame_id': 51600, 'track_a': 273184, 'track_b': 271043, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.3407207184811875}
{'frame_id': 51600, 'track_a': 273835, 'track_b': 272107, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.1451036124067017}
{'frame_id': 51660, 'track_a': 273481, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.2629350473673372}
{'frame_id': 51660, 'track_a': 273184, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.1510560446548352}
{'frame_id': 51660, 'track_a': 273481, 'track_b': 274397, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.33572150658058514}
{'frame_id': 51660, 'track_a': 273184, 'track_b': 274397, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.0817631568065493}
{'frame_id': 51660, 'track_a': 271043, 'track_b': 274397, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.1182870024897397}
{'frame_id': 51660, 'track_a': 274289, 'track_b': 274397, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.11986117898088801}
{'frame_id': 51780, 'track_a': 274863, 'track_b': 271043, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.3357835917201886}
{'frame_id': 51900, 'track_a': 275407, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.21875305721880262}
{'frame_id': 51900, 'track_a': 275408, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.2580223345810515}
{'frame_id': 51900, 'track_a': 275331, 'track_b': 271043, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.07544893828926416}
{'frame_id': 52080, 'track_a': 275915, 'track_b': 271043, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.13274761286506775}
{'frame_id': 52200, 'track_a': 276529, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.13819637551505604}
{'frame_id': 52200, 'track_a': 276537, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.20298689063523923}
{'frame_id': 52200, 'track_a': 273184, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.3071138787984538}
{'frame_id': 52260, 'track_a': 273184, 'track_b': 276629, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.36355258415839836}
{'frame_id': 52320, 'track_a': 276510, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.13329331102878614}
{'frame_id': 52440, 'track_a': 277335, 'track_b': 277034, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.2238339453186122}
{'frame_id': 52440, 'track_a': 277209, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.32613744115622945}
{'frame_id': 52440, 'track_a': 277368, 'track_b': 277034, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.20659620010910562}
{'frame_id': 52440, 'track_a': 277209, 'track_b': 276629, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.24279795781605076}
{'frame_id': 52440, 'track_a': 277191, 'track_b': 276629, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.360081669764599}
{'frame_id': 52500, 'track_a': 277335, 'track_b': 276401, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.29846883808572233}
{'frame_id': 52500, 'track_a': 277347, 'track_b': 277034, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.08570971554168581}
{'frame_id': 52500, 'track_a': 277437, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.03496296051072478}
{'frame_id': 52500, 'track_a': 276755, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.38576973845515417}
{'frame_id': 52500, 'track_a': 276839, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.35579454314772135}
{'frame_id': 52500, 'track_a': 277437, 'track_b': 276629, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.289004045314502}
{'frame_id': 52560, 'track_a': 277777, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.24516336880706505}
{'frame_id': 52560, 'track_a': 277777, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.3660319241042041}
{'frame_id': 52680, 'track_a': 278177, 'track_b': 278381, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.15185380590596148}
{'frame_id': 52680, 'track_a': 277347, 'track_b': 278381, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.21833497476718333}
{'frame_id': 52680, 'track_a': 278338, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.30926146043829084}
{'frame_id': 52680, 'track_a': 278338, 'track_b': 276629, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.3250735259470299}
{'frame_id': 52740, 'track_a': 278177, 'track_b': 278180, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.3571189244294446}
{'frame_id': 52800, 'track_a': 278690, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.32995108035276266}
{'frame_id': 52860, 'track_a': 279296, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.038108942029146185}
{'frame_id': 52860, 'track_a': 279331, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.31330217564780316}
{'frame_id': 52860, 'track_a': 279336, 'track_b': 279286, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.21671321802343943}
{'frame_id': 52860, 'track_a': 279338, 'track_b': 276401, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.29493199355451194}
{'frame_id': 52860, 'track_a': 279195, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.3715071668875669}
{'frame_id': 52860, 'track_a': 279296, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.26197038428621505}
{'frame_id': 52860, 'track_a': 279331, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.1198608660330374}
{'frame_id': 52860, 'track_a': 279195, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.1216421722054418}
{'frame_id': 52920, 'track_a': 279498, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.2576802309088284}
{'frame_id': 52920, 'track_a': 279465, 'track_b': 276401, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.3664698303776159}
{'frame_id': 52920, 'track_a': 278980, 'track_b': 278180, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.38178767078310266}
{'frame_id': 52920, 'track_a': 279589, 'track_b': 279286, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.11028136037513385}
{'frame_id': 52920, 'track_a': 279498, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.14218276783207848}
{'frame_id': 52920, 'track_a': 279465, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.22710187126708128}
{'frame_id': 52920, 'track_a': 278980, 'track_b': 276629, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.13118832013309376}
{'frame_id': 52980, 'track_a': 279508, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.15847450489780696}
{'frame_id': 52980, 'track_a': 280103, 'track_b': 274289, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.19708277514191683}
{'frame_id': 52980, 'track_a': 279508, 'track_b': 276629, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.2779222481329431}
{'frame_id': 53100, 'track_a': 280568, 'track_b': 276401, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.15313863231170502}
{'frame_id': 53100, 'track_a': 280431, 'track_b': 276401, 'camera_a': 'Cam1', 'camera_b': 'Cam2', 'cost': 0.06139185840382899}
{'frame_id': 53100, 'track_a': 280568, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.32795091871964105}
{'frame_id': 53100, 'track_a': 280431, 'track_b': 276541, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.3459458929966451}
{'frame_id': 53160, 'track_a': 276755, 'track_b': 280845, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.21247846054913894}
{'frame_id': 53160, 'track_a': 276839, 'track_b': 280845, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.2531363144243692}
{'frame_id': 53160, 'track_a': 279498, 'track_b': 280845, 'camera_a': 'Cam1', 'camera_b': 'Cam3', 'cost': 0.2599752829657334}
{'frame_id': 53160, 'track_a': 274289, 'track_b': 280845, 'camera_a': 'Cam2', 'camera_b': 'Cam3', 'cost': 0.18191300313364528}
